trade_date,base_time,base_time_source,source_time,market_session,futures_code,futures_name,open_price,high_price,low_price,close_price,accumulated_volume,accumulated_trading_value,source,source_url,collected_at,raw_hash,target_slot,generated_at,actual_kst_time,schedule_lag_minutes
2026-05-18,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1150,1194.2,1110.6,1173.55,144465,41747508238,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-15,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1244.5,1256.4,1145.9,1172.7,199907,59880498025,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-14,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1229.25,1249.2,1221.45,1245.5,148989,46003294863,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-13,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1160,1223.4,1144.5,1222.25,168145,49938213275,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-12,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1243,1243.55,1152.05,1186,245538,73418650313,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-11,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1206.05,1228.8,1194.8,1214.25,198373,60186026788,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-08,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1126.8,1155.75,1122.75,1153.25,140720,40092505200,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-07,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1170.95,1174.6,1113.2,1158.7,182006,51769730133,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-06,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1119.45,1140.2,1102.55,1131.7,203375,57196269338,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
2026-05-04,13:49,collected_at_fallback,13:49,REGULAR,A01606,F 202606,1020.6,1051.65,1016.45,1050.5,139959,36298697350,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-18T13:49:15.091977+09:00,abd3ffb5e71a5cd70e021dba1946ab1920ccb8871b92899c8aca7c9e4e40fcbb,1330,2026-05-18T13:49:15.091977+09:00,13:49,19
